feature_name,feature_type
price_change,price
price_change_pct,price
volume_change,volume
market_cap_change,other
price_volatility,price
volume_volatility,volume
sma_20,technical
sma_50,technical
ema_12,technical
ema_26,technical
macd,technical
macd_signal,technical
macd_histogram,technical
rsi,technical
bb_middle,technical
bb_upper,technical
bb_lower,technical
bb_width,technical
bb_position,technical
price_high_low_ratio,price
price_close_open_ratio,price
volume_sma_20,technical
volume_ratio,volume
volume_change_pct,volume
price_volatility_7,price
price_volatility_14,price
volume_volatility_7,volume
market_cap_change_pct,other
price_vs_sma20,technical
price_vs_sma50,technical
sma20_vs_sma50,technical
ema12_vs_ema26,technical
rsi_oversold,technical
rsi_overbought,technical
price_above_bb_upper,technical
price_below_bb_lower,technical
macd_bullish,technical
price_lag_1,price
volume_lag_1,volume
price_change_lag_1,price
price_lag_2,price
volume_lag_2,volume
price_change_lag_2,price
price_lag_3,price
volume_lag_3,volume
price_change_lag_3,price
price_lag_5,price
volume_lag_5,volume
price_change_lag_5,price
price_lag_7,price
volume_lag_7,volume
price_change_lag_7,price
price_mean_5,price
price_std_5,price
volume_mean_5,volume
price_mean_10,price
price_std_10,price
volume_mean_10,volume
price_mean_20,price
price_std_20,price
volume_mean_20,volume
